ID,TOTAL DE ANIMAIS,1° ORDENHA,2° ORDENHA,TOTAL LITROS DIA,MÉDIA,DATA
dfgr0001,30,45,"30,0","75,0","2,5",01/01/2020
dfgr0002,30,45,"30,0","75,0","2,5",02/01/2020
dfgr0003,30,45,"30,0","75,0","2,5",03/01/2020
dfgr0004,30,45,"30,0","75,0","2,5",04/01/2020
dfgr0005,30,45,"30,0","75,0","2,5",05/01/2020
dfgr0006,30,45,"28,0","73,0","2,4",06/01/2020
dfgr0007,30,45,"28,0","73,0","2,4",07/01/2020
dfgr0008,30,45,"28,0","73,0","2,4",08/01/2020
dfgr0009,30,45,"28,0","73,0","2,4",09/01/2020
dfgr0010,30,45,"28,0","73,0","2,4",10/01/2020
dfgr0011,30,45,"28,0","73,0","2,4",11/01/2020
dfgr0012,30,41,"31,0","72,0","2,4",12/01/2020
dfgr0013,30,41,"31,0","72,0","2,4",13/01/2020
dfgr0014,30,41,"31,0","72,0","2,4",14/01/2020
dfgr0015,30,41,"31,0","72,0","2,4",15/01/2020
dfgr0016,30,41,"31,0","72,0","2,4",16/01/2020
dfgr0017,30,41,"31,0","72,0","2,4",17/01/2020
dfgr0018,30,41,"31,0","72,0","2,4",18/01/2020
dfgr0019,30,41,"31,0","72,0","2,4",19/01/2020
dfgr0020,30,41,"31,0","72,0","2,4",20/01/2020
dfgr0021,30,41,"31,0","72,0","2,4",21/01/2020
dfgr0022,30,41,"31,0","72,0","2,4",22/01/2020
dfgr0023,30,41,"31,0","72,0","2,4",23/01/2020
dfgr0024,30,41,"31,0","72,0","2,4",24/01/2020
dfgr0025,30,41,"31,0","72,0","2,4",25/01/2020
dfgr0026,30,41,"31,0","72,0","2,4",26/01/2020
dfgr0027,30,41,"31,0","72,0","2,4",27/01/2020
dfgr0028,30,41,"31,0","72,0","2,4",28/01/2020
dfgr0029,30,41,"31,0","72,0","2,4",29/01/2020
dfgr0030,30,41,"31,0","72,0","2,4",30/01/2020
dfgr0031,30,41,"31,0","72,0","2,4",31/01/2020
dfgr0032,10,11,"8,0","19,0","1,9",11/08/2020
dfgr0033,11,13,"8,0","21,0","1,9",12/08/2020
dfgr0034,18,23,"10,0","33,0","1,8",13/08/2020
dfgr0035,17,25,"10,0","35,0","2,1",14/08/2020
dfgr0036,21,40,"20,0","60,0","2,9",18/08/2020
dfgr0037,21,40,"20,0","60,0","2,9",19/08/2020
dfgr0038,21,40,"20,0","60,0","2,9",20/08/2020
dfgr0039,21,40,"20,0","60,0","2,9",21/08/2020
dfgr0040,25,50,"30,0","80,0","3,2",22/08/2020
dfgr0041,25,50,"30,0","80,0","3,2",23/08/2020
dfgr0042,25,50,"30,0","80,0","3,2",24/08/2020
dfgr0043,25,50,"30,0","80,0","3,2",25/08/2020
dfgr0044,25,48,"27,0","75,0","3,0",26/08/2020
dfgr0045,26,50,"28,0","78,0","3,0",27/08/2020
